"Name","API Name","Memory","Compute Units (ECU)","vCPUs","GPUs","FPGAs","ECU per vCPU","Physical Processor","Clock Speed(GHz)","Intel AVX","Intel AVX2","Intel Turbo","Instance Storage","Instance Storage: already warmed-up","Instance Storage: SSD TRIM Support","Arch","Network Performance","EBS Optimized: Max Bandwidth","EBS Optimized: Throughput","EBS Optimized: Max 16K IOPS","EBS Exposed as NVMe","Max IPs","Max ENIs","Enhanced Networking","VPC Only","IPv6 Support","Placement Group Support","Linux Virtualization","On EMR","Linux On Demand cost","Linux Reserved cost","RHEL On Demand cost","RHEL Reserved cost","SLES On Demand cost","SLES Reserved cost","Windows On Demand cost","Windows Reserved cost","Windows SQL Web On Demand cost","Windows SQL Web Reserved cost","Windows SQL Std On Demand cost","Windows SQL Std Reserved cost","Windows SQL Ent On Demand cost","Windows SQL Ent Reserved cost","Linux SQL Web On Demand cost","Linux SQL Web Reserved cost","Linux SQL Std On Demand cost","Linux SQL Std Reserved cost","Linux SQL Ent On Demand cost","Linux SQL Ent Reserved cost","EBS Optimized surcharge","EMR cost"
"D2 Double Extra Large","d2.2xlarge","61.0 GiB","28 units","8 vCPUs","0","0","3.5 units","Intel Xeon E5-2676v3 (Haswell)","2.4 GHz","Yes","Yes","Yes","12000 GiB               (6 * 2000 GiB HDD)","Yes","N/A","64-bit","High","1000.0 Mbps","125.0 MB/s","8000.0 IOPS","No","60","4","Yes","No","Yes","No","HVM","Yes","$1.380000 hourly","$0.804000 hourly","$1.51 hourly","$0.934 hourly","$1.48 hourly","$0.841 hourly","$1.601000 hourly","$0.885000 hourly","unavailable","unavailable","unavailable","unavailable","$4.748 hourly","$4.173 hourly","unavailable","unavailable","unavailable","unavailable","$4.38 hourly","$3.725 hourly","$0.00 hourly","$0.270 hourly"
"D2 Quadruple Extra Large","d2.4xlarge","122.0 GiB","56 units","16 vCPUs","0","0","3.5 units","Intel Xeon E5-2676v3 (Haswell)","2.4 GHz","Yes","Yes","Yes","24000 GiB               (12 * 2000 GiB HDD)","Yes","N/A","64-bit","High","2000.0 Mbps","250.0 MB/s","16000.0 IOPS","No","240","8","Yes","No","Yes","No","HVM","Yes","$2.760000 hourly","$1.608000 hourly","$2.89 hourly","$1.738 hourly","$2.86 hourly","$1.645 hourly","$3.062000 hourly","$1.690000 hourly","unavailable","unavailable","unavailable","unavailable","$9.496 hourly","$8.346 hourly","unavailable","unavailable","unavailable","unavailable","$8.76 hourly","$7.449 hourly","$0.00 hourly","$0.270 hourly"
"D2 Eight Extra Large","d2.8xlarge","244.0 GiB","116 units","36 vCPUs","0","0","3.222 units","Intel Xeon E5-2676v3 (Haswell)","2.4 GHz","Yes","Yes","Yes","48000 GiB               (24 * 2000 GiB HDD)","Yes","N/A","64-bit","10 Gigabit","4000.0 Mbps","500.0 MB/s","32000.0 IOPS","No","240","8","Yes","No","Yes","No","HVM","Yes","$5.520000 hourly","$3.216000 hourly","$5.65 hourly","$3.346 hourly","$5.62 hourly","$3.253 hourly","$6.198000 hourly","$3.300000 hourly","unavailable","unavailable","unavailable","unavailable","$20.676 hourly","$18.375 hourly","unavailable","unavailable","unavailable","unavailable","$19.02 hourly","$16.398 hourly","$0.00 hourly","$0.270 hourly"
"D2 Extra Large","d2.xlarge","30.5 GiB","14 units","4 vCPUs","0","0","3.5 units","Intel Xeon E5-2676v3 (Haswell)","2.4 GHz","Yes","Yes","Yes","6000 GiB               (3 * 2000 GiB HDD)","Yes","N/A","64-bit","Moderate","750.0 Mbps","93.75 MB/s","6000.0 IOPS","No","60","4","Yes","No","Yes","No","HVM","Yes","$0.690000 hourly","$0.402000 hourly","$0.75 hourly","$0.462 hourly","$0.79 hourly","$0.439 hourly","$0.821000 hourly","$0.472000 hourly","unavailable","unavailable","unavailable","unavailable","$2.374 hourly","$2.086 hourly","unavailable","unavailable","unavailable","unavailable","$2.19 hourly","$1.862 hourly","$0.00 hourly","$0.173 hourly"
"F1 16xlarge","f1.16xlarge","976.0 GiB","188 units","64 vCPUs","0","0","2.938 units","Intel Xeon E5-2686 v4 (Broadwell)","unknown","unknown","unknown","unknown","3760 GiB               (4 * 940 GiB NVMe SSD)","Yes","Yes","64-bit","20 Gigabit","14000.0 Mbps","1750.0 MB/s","75000.0 IOPS","No","400","8","No","Yes","Yes","No","HVM","No","$13.200000 hourly","$8.925000 hourly","$13.33 hourly","$9.055 hourly","$13.3 hourly","$8.958 hourly","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","0","unavailable"
"F1 Double Extra Large","f1.2xlarge","122.0 GiB","26 units","8 vCPUs","0","0","3.25 units","Intel Xeon E5-2686 v4 (Broadwell)","unknown","unknown","unknown","unknown","470 GiB               NVMe SSD","Yes","Yes","64-bit","Up to 10 Gigabit","1700.0 Mbps","212.5 MB/s","12000.0 IOPS","No","60","4","No","Yes","Yes","No","HVM","No","$1.650000 hourly","$1.116000 hourly","$1.78 hourly","$1.246 hourly","$1.75 hourly","$1.149 hourly","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","0","unavailable"
"F1 Quadruple Extra Large","f1.4xlarge","244.0 GiB","52 units","16 vCPUs","0","0","3.25 units","Intel Xeon E5-2686 v4 (Broadwell)","unknown","unknown","unknown","unknown","940 GiB               NVMe SSD","Yes","Yes","64-bit","10 Gigabit","3500.0 Mbps","400.0 MB/s","44000.0 IOPS","No","240","8","No","Yes","Yes","No","HVM","No","$3.300000 hourly","$2.231000 hourly","$3.43 hourly","$2.361 hourly","$3.4 hourly","$2.264 hourly","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","0","unavailable"
"G2 Double Extra Large","g2.2xlarge","15.0 GiB","26 units","8 vCPUs","1","0","3.25 units","Intel Xeon E5-2670 (Sandy Bridge)","2.6 GHz","Yes","unknown","Yes","60 GiB               SSD","No","No","64-bit","High","N/A","0 MB/s","0 IOPS","No","60","4","No","No","No","No","Unknown","Yes","$0.650000 hourly","$0.474000 hourly","$0.78 hourly","$0.604 hourly","$0.75 hourly","$0.51 hourly","$0.767000 hourly","$0.611000 hourly","$0.957 hourly","$0.775 hourly","$3.816 hourly","$3.754 hourly","unavailable","unavailable","$0.785 hourly","$0.561 hourly","$1.61 hourly","$1.385 hourly","unavailable","unavailable","unavailable","$0.200 hourly"
"G2 Eight Extra Large","g2.8xlarge","60.0 GiB","104 units","32 vCPUs","4","0","3.25 units","Intel Xeon E5-2670 (Sandy Bridge)","2.6 GHz","Yes","unknown","Yes","240 GiB               (2 * 120 GiB SSD)","No","No","64-bit","10 Gigabit","N/A","0 MB/s","0 IOPS","No","240","8","No","No","No","No","Unknown","No","$2.600000 hourly","$1.896000 hourly","$2.73 hourly","$2.026 hourly","$2.7 hourly","$1.933 hourly","$2.878000 hourly","$1.979000 hourly","unavailable","unavailable","unavailable","unavailable","$16.072 hourly","$15.369 hourly","unavailable","unavailable","unavailable","unavailable","$14.6 hourly","$13.702 hourly","unavailable","unavailable"
"G3 16xlarge","g3.16xlarge","488.0 GiB","188 units","64 vCPUs","4","0","2.938 units","Intel Xeon E5-2686 v4 (Broadwell)","2.3 GHz","Yes","Yes","Yes","EBS only","N/A","N/A","64-bit","20 Gigabit","14000.0 Mbps","1750.0 MB/s","80000.0 IOPS","No","750","15","Yes","Yes","Yes","No","HVM","Yes","$4.560000 hourly","$3.112200 hourly","$4.69 hourly","$3.2422 hourly","$4.66 hourly","$3.1452 hourly","$7.504000 hourly","$6.056200 hourly","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","0","$0.270 hourly"
"G3 Quadruple Extra Large","g3.4xlarge","122.0 GiB","47 units","16 vCPUs","1","0","2.938 units","Intel Xeon E5-2686 v4 (Broadwell)","2.3 GHz","Yes","Yes","Yes","EBS only","N/A","N/A","64-bit","Up to 10 Gigabit","3500.0 Mbps","437.5 MB/s","20000.0 IOPS","No","240","8","Yes","Yes","Yes","No","HVM","Yes","$1.140000 hourly","$0.778100 hourly","$1.27 hourly","$0.9081 hourly","$1.24 hourly","$0.8111 hourly","$1.876000 hourly","$1.514100 hourly","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","0","$0.270 hourly"
"G3 Eight Extra Large","g3.8xlarge","244.0 GiB","94 units","32 vCPUs","2","0","2.938 units","Intel Xeon E5-2686 v4 (Broadwell)","2.3 GHz","Yes","Yes","Yes","EBS only","N/A","N/A","64-bit","10 Gigabit","7000.0 Mbps","875.0 MB/s","40000.0 IOPS","No","240","8","Yes","Yes","Yes","No","HVM","Yes","$2.280000 hourly","$1.556100 hourly","$2.41 hourly","$1.6861 hourly","$2.38 hourly","$1.5891 hourly","$3.752000 hourly","$3.028100 hourly","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","0","$0.270 hourly"
"G3S Extra Large","g3s.xlarge","30.5 GiB","13 units","4 vCPUs","0","0","3.25 units","Intel Xeon E5-2686 v4 (Broadwell)","unknown","unknown","unknown","unknown","EBS only","N/A","N/A","64-bit","10 Gigabit","850.0 Mbps","100.0 MB/s","5000.0 IOPS","No","60","4","No","Yes","Yes","No","Unknown","Yes","$0.750000 hourly","$0.551000 hourly","$0.81 hourly","$0.611 hourly","$0.875 hourly","$0.601 hourly","$0.934000 hourly","$0.735000 hourly","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","0","$0.188 hourly"
"H1 16xlarge","h1.16xlarge","256.0 GiB","188 units","64 vCPUs","0","0","2.938 units","Intel Xeon E5-2686 v4 (Broadwell)","2.3 GHz","Yes","Yes","Yes","16000 GiB               (8 * 2000 GiB HDD)","Yes","N/A","64-bit","25 Gigabit","14000.0 Mbps","1750.0 MB/s","80000.0 IOPS","No","750","15","Yes","Yes","Yes","No","HVM","Yes","$3.744000 hourly","$2.545000 hourly","$3.874 hourly","$2.675 hourly","$3.844 hourly","$2.578 hourly","$6.688000 hourly","$5.489000 hourly","$7.77 hourly","$6.57 hourly","$14.368 hourly","$13.169 hourly","$30.688 hourly","$29.489 hourly","$4.826 hourly","$3.626 hourly","$11.424 hourly","$10.225 hourly","$27.744 hourly","$26.545 hourly","0","$0.270 hourly"
"H1 Double Extra Large","h1.2xlarge","32.0 GiB","26 units","8 vCPUs","0","0","3.25 units","Intel Xeon E5-2686 v4 (Broadwell)","2.3 GHz","Yes","Yes","Yes","2000 GiB               HDD","Yes","N/A","64-bit","Up to 10 Gigabit","1750.0 Mbps","218.75 MB/s","12000.0 IOPS","No","60","4","Yes","Yes","Yes","No","HVM","Yes","$0.468000 hourly","$0.318000 hourly","$0.598 hourly","$0.448 hourly","$0.568 hourly","$0.351 hourly","$0.836000 hourly","$0.686000 hourly","$0.971 hourly","$0.821 hourly","$1.796 hourly","$1.646 hourly","$3.836 hourly","$3.686 hourly","$0.603 hourly","$0.453 hourly","$1.428 hourly","$1.278 hourly","$3.468 hourly","$3.318 hourly","0","$0.117 hourly"
"H1 Quadruple Extra Large","h1.4xlarge","64.0 GiB","53.5 units","16 vCPUs","0","0","3.344 units","Intel Xeon E5-2686 v4 (Broadwell)","2.3 GHz","Yes","Yes","Yes","4000 GiB               (2 * 2000 GiB HDD)","Yes","N/A","64-bit","Up to 10 Gigabit","3500.0 Mbps","437.5 MB/s","20000.0 IOPS","No","240","8","Yes","Yes","Yes","No","HVM","Yes","$0.936000 hourly","$0.636000 hourly","$1.066 hourly","$0.766 hourly","$1.036 hourly","$0.669 hourly","$1.672000 hourly","$1.372000 hourly","$1.942 hourly","$1.643 hourly","$3.592 hourly","$3.292 hourly","$7.672 hourly","$7.372 hourly","$1.206 hourly","$0.907 hourly","$2.856 hourly","$2.556 hourly","$6.936 hourly","$6.636 hourly","0","$0.234 hourly"
"H1 Eight Extra Large","h1.8xlarge","128.0 GiB","99 units","32 vCPUs","0","0","3.094 units","Intel Xeon E5-2686 v4 (Broadwell)","2.3 GHz","Yes","Yes","Yes","8000 GiB               (4 * 2000 GiB HDD)","Yes","N/A","64-bit","10 Gigabit","7000.0 Mbps","875.0 MB/s","40000.0 IOPS","No","240","8","Yes","Yes","Yes","No","HVM","Yes","$1.872000 hourly","$1.272000 hourly","$2.002 hourly","$1.402 hourly","$1.972 hourly","$1.305 hourly","$3.344000 hourly","$2.744000 hourly","$3.885 hourly","$3.285 hourly","$7.184 hourly","$6.584 hourly","$15.344 hourly","$14.744 hourly","$2.413 hourly","$1.813 hourly","$5.712 hourly","$5.112 hourly","$13.872 hourly","$13.272 hourly","0","$0.270 hourly"
"High Storage Eight Extra Large","hs1.8xlarge","117.0 GiB","35 units","17 vCPUs","0","0","2.059 units","Intel Xeon E5-2650","2 GHz","unknown","unknown","unknown","48000 GiB               (24 * 2000 GiB HDD)","No","N/A","64-bit","10 Gigabit","N/A","0 MB/s","0 IOPS","No","240","8","No","No","No","No","HVM, PV","Yes","$4.600000 hourly","unavailable","$4.73 hourly","unavailable","$4.7 hourly","unavailable","$4.931000 hourly","unavailable","$5.144 hourly","unavailable","$8.35 hourly","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","$0.270 hourly"
"I2 Double Extra Large","i2.2xlarge","61.0 GiB","27 units","8 vCPUs","0","0","3.375 units","Intel Xeon E5-2670 v2 (Ivy Bridge)","2.5 GHz","Yes","unknown","Yes","1600 GiB               (2 * 800 GiB SSD)","Yes","Yes","64-bit","High","N/A","0 MB/s","0 IOPS","No","60","4","Yes","No","Yes","No","HVM","Yes","$1.705000 hourly","$0.848000 hourly","$1.835 hourly","$0.978 hourly","$1.805 hourly","$0.884 hourly","$1.946000 hourly","$1.131000 hourly","$1.986 hourly","$1.155 hourly","$2.459 hourly","$1.536 hourly","$5.073 hourly","$4.218 hourly","$1.841 hourly","$0.897 hourly","$2.666 hourly","$1.722 hourly","$4.706 hourly","$3.762 hourly","unavailable","$0.270 hourly"
"I2 Quadruple Extra Large","i2.4xlarge","122.0 GiB","53 units","16 vCPUs","0","0","3.312 units","Intel Xeon E5-2670 v2 (Ivy Bridge)","2.5 GHz","Yes","unknown","Yes","3200 GiB               (4 * 800 GiB SSD)","Yes","Yes","64-bit","High","N/A","0 MB/s","0 IOPS","No","240","8","Yes","No","Yes","No","HVM","Yes","$3.410000 hourly","$1.696000 hourly","$3.54 hourly","$1.826 hourly","$3.51 hourly","$1.732 hourly","$3.891000 hourly","$2.260000 hourly","$3.971 hourly","$2.311 hourly","$4.918 hourly","$3.071 hourly","$10.146 hourly","$8.435 hourly","$3.682 hourly","$1.794 hourly","$5.332 hourly","$3.444 hourly","$9.412 hourly","$7.524 hourly","unavailable","$0.270 hourly"
"I2 Eight Extra Large","i2.8xlarge","244.0 GiB","104 units","32 vCPUs","0","0","3.25 units","Intel Xeon E5-2670 v2 (Ivy Bridge)","2.5 GHz","Yes","unknown","Yes","6400 GiB               (8 * 800 GiB SSD)","Yes","Yes","64-bit","10 Gigabit","N/A","0 MB/s","0 IOPS","No","240","8","Yes","No","Yes","No","HVM","Yes","$6.820000 hourly","$3.392000 hourly","$6.95 hourly","$3.522 hourly","$6.92 hourly","$3.428 hourly","$7.782000 hourly","$4.521000 hourly","$7.942 hourly","$4.623 hourly","$9.836 hourly","$6.142 hourly","$20.292 hourly","$16.87 hourly","$7.365 hourly","$3.588 hourly","$10.664 hourly","$6.888 hourly","$18.824 hourly","$15.048 hourly","unavailable","$0.270 hourly"
"I2 Extra Large","i2.xlarge","30.5 GiB","14 units","4 vCPUs","0","0","3.5 units","Intel Xeon E5-2670 v2 (Ivy Bridge)","2.5 GHz","Yes","unknown","Yes","800 GiB               SSD","Yes","Yes","64-bit","Moderate","N/A","0 MB/s","0 IOPS","No","60","4","Yes","No","Yes","No","HVM","Yes","$0.853000 hourly","$0.424000 hourly","$0.913 hourly","$0.484 hourly","$0.953 hourly","$0.46 hourly","$0.973000 hourly","$0.565000 hourly","$0.993 hourly","$0.578 hourly","$1.23 hourly","$0.768 hourly","$2.537 hourly","$2.108 hourly","$0.921 hourly","$0.449 hourly","$1.333 hourly","$0.861 hourly","$2.353 hourly","$1.881 hourly","unavailable","$0.213 hourly"
"I3 High I/O 16xlarge","i3.16xlarge","488.0 GiB","200 units","64 vCPUs","0","0","3.125 units","Intel Xeon E5-2686 v4 (Broadwell)","2.3 GHz","Yes","Yes","Yes","15200 GiB               (8 * 1900 GiB NVMe SSD)","Yes","Yes","64-bit","20 Gigabit","14000.0 Mbps","1750.0 MB/s","65000.0 IOPS","No","750","15","Yes","Yes","Yes","No","HVM","Yes","$4.992000 hourly","$3.427000 hourly","$5.122 hourly","$3.557 hourly","$5.092 hourly","$3.46 hourly","$7.936000 hourly","$6.371000 hourly","$9.063 hourly","$7.498 hourly","$15.616 hourly","$14.051 hourly","$31.936 hourly","$30.371 hourly","$6.074 hourly","$4.509 hourly","$12.672 hourly","$11.107 hourly","$28.992 hourly","$27.427 hourly","0","$0.270 hourly"
"I3 High I/O Double Extra Large","i3.2xlarge","61.0 GiB","27 units","8 vCPUs","0","0","3.375 units","Intel Xeon E5-2686 v4 (Broadwell)","2.3 GHz","Yes","Yes","Yes","1900 GiB               NVMe SSD","Yes","Yes","64-bit","Up to 10 Gigabit","1700.0 Mbps","212.5 MB/s","12000.0 IOPS","No","60","4","Yes","Yes","Yes","No","HVM","Yes","$0.624000 hourly","$0.428000 hourly","$0.754 hourly","$0.558 hourly","$0.724 hourly","$0.461 hourly","$0.992000 hourly","$0.796000 hourly","$1.133 hourly","$0.937 hourly","$1.952 hourly","$1.756 hourly","$3.992 hourly","$3.796 hourly","$0.759 hourly","$0.564 hourly","$1.584 hourly","$1.388 hourly","$3.624 hourly","$3.428 hourly","0","$0.156 hourly"
"I3 High I/O Quadruple Extra Large","i3.4xlarge","122.0 GiB","53 units","16 vCPUs","0","0","3.312 units","Intel Xeon E5-2686 v4 (Broadwell)","2.3 GHz","Yes","Yes","Yes","3800 GiB               (2 * 1900 GiB NVMe SSD)","Yes","Yes","64-bit","Up to 10 Gigabit","3500.0 Mbps","437.5 MB/s","16000.0 IOPS","No","240","8","Yes","Yes","Yes","No","HVM","Yes","$1.248000 hourly","$0.857000 hourly","$1.378 hourly","$0.987 hourly","$1.348 hourly","$0.89 hourly","$1.984000 hourly","$1.593000 hourly","$2.266 hourly","$1.875 hourly","$3.904 hourly","$3.513 hourly","$7.984 hourly","$7.593 hourly","$1.518 hourly","$1.127 hourly","$3.168 hourly","$2.777 hourly","$7.248 hourly","$6.857 hourly","0","$0.270 hourly"
"I3 High I/O Eight Extra Large","i3.8xlarge","244.0 GiB","99 units","32 vCPUs","0","0","3.094 units","Intel Xeon E5-2686 v4 (Broadwell)","2.3 GHz","Yes","Yes","Yes","7600 GiB               (4 * 1900 GiB NVMe SSD)","Yes","Yes","64-bit","10 Gigabit","7000.0 Mbps","875.0 MB/s","32500.0 IOPS","No","240","8","Yes","Yes","Yes","No","HVM","Yes","$2.496000 hourly","$1.714000 hourly","$2.626 hourly","$1.844 hourly","$2.596 hourly","$1.747 hourly","$3.968000 hourly","$3.186000 hourly","$4.532 hourly","$3.75 hourly","$7.808 hourly","$7.026 hourly","$15.968 hourly","$15.186 hourly","$3.037 hourly","$2.254 hourly","$6.336 hourly","$5.554 hourly","$14.496 hourly","$13.714 hourly","0","$0.270 hourly"
"I3 High I/O Large","i3.large","15.25 GiB","7 units","2 vCPUs","0","0","3.5 units","Intel Xeon E5-2686 v4 (Broadwell)","2.3 GHz","Yes","Yes","Yes","475 GiB               NVMe SSD","Yes","Yes","64-bit","Up to 10 Gigabit","425.0 Mbps","53.13 MB/s","3000.0 IOPS","No","30","3","Yes","Yes","Yes","No","HVM","No","$0.156000 hourly","$0.107000 hourly","$0.216 hourly","$0.167 hourly","$0.256 hourly","$0.14 hourly","$0.248000 hourly","$0.199000 hourly","$0.319 hourly","$0.27 hourly","$0.728 hourly","$0.679 hourly","unavailable","unavailable","$0.224 hourly","$0.175 hourly","$0.636 hourly","$0.587 hourly","unavailable","unavailable","0","unavailable"
"I3 High I/O Metal","i3.metal","512.0 GiB","208 units","72 vCPUs","0","0","2.889 units","Intel Xeon E5-2686 v4 (Broadwell)","unknown","unknown","unknown","unknown","15200 GiB               (8 * 1900 GiB NVMe SSD)","Yes","Yes","64-bit","25 Gigabit","14000.0 Mbps","1750.0 MB/s","65000.0 IOPS","No","750","15","No","Yes","Yes","No","HVM","No","$4.992000 hourly","$3.427000 hourly","$5.122 hourly","$3.557 hourly","$5.092 hourly","$3.46 hourly","$7.936000 hourly","$6.371000 hourly","$9.063 hourly","$7.498 hourly","$15.616 hourly","$14.051 hourly","$31.936 hourly","$30.371 hourly","$6.074 hourly","$4.509 hourly","$12.672 hourly","$11.107 hourly","$28.992 hourly","$27.427 hourly","0","unavailable"
"I3 High I/O Extra Large","i3.xlarge","30.5 GiB","13 units","4 vCPUs","0","0","3.25 units","Intel Xeon E5-2686 v4 (Broadwell)","2.3 GHz","Yes","Yes","Yes","950 GiB               NVMe SSD","Yes","Yes","64-bit","Up to 10 Gigabit","850.0 Mbps","106.25 MB/s","6000.0 IOPS","No","60","4","Yes","Yes","Yes","No","HVM","Yes","$0.312000 hourly","$0.214000 hourly","$0.372 hourly","$0.274 hourly","$0.412 hourly","$0.247 hourly","$0.496000 hourly","$0.398000 hourly","$0.567 hourly","$0.469 hourly","$0.976 hourly","$0.878 hourly","$1.996 hourly","$1.898 hourly","$0.38 hourly","$0.282 hourly","$0.792 hourly","$0.694 hourly","$1.812 hourly","$1.714 hourly","0","$0.078 hourly"
"M1 General Purpose Large","m1.large","7.5 GiB","4 units","2 vCPUs","0","0","2 units","Intel Xeon Family","unknown","unknown","unknown","unknown","840 GiB               (2 * 420 GiB HDD)","No","N/A","64-bit","Moderate","N/A","0 MB/s","0 IOPS","No","30","3","No","No","No","No","PV","Yes","$0.175000 hourly","$0.112000 hourly","$0.235 hourly","$0.172 hourly","$0.275 hourly","$0.148 hourly","$0.299000 hourly","$0.232000 hourly","$0.435 hourly","$0.284 hourly","$0.955 hourly","$0.665 hourly","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","$0.044 hourly"
"M1 General Purpose Medium","m1.medium","3.75 GiB","2 units","1 vCPUs","0","0","2 units","Intel Xeon Family","unknown","unknown","unknown","unknown","410 GiB               HDD","No","N/A","32/64-bit","Moderate","N/A","0 MB/s","0 IOPS","No","12","2","No","No","No","No","PV","Yes","$0.087000 hourly","$0.056000 hourly","$0.147 hourly","$0.116 hourly","$0.187 hourly","$0.092 hourly","$0.149000 hourly","$0.115000 hourly","$0.237 hourly","$0.155 hourly","$0.744 hourly","$0.543 hourly","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","$0.022 hourly"
"M1 General Purpose Small","m1.small","1.7 GiB","1 units","1 vCPUs","0","0","1 units","Intel Xeon Family","unknown","unknown","unknown","unknown","160 GiB               HDD               + 900MB swap","No","N/A","32/64-bit","Low","N/A","0 MB/s","0 IOPS","No","8","2","No","No","No","No","PV","Yes","$0.044000 hourly","$0.028000 hourly","$0.104 hourly","$0.088 hourly","$0.074 hourly","$0.052 hourly","$0.075000 hourly","$0.057000 hourly","$0.139 hourly","$0.094 hourly","$0.629 hourly","$0.473 hourly","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","$0.011 hourly"
"M1 General Purpose Extra Large","m1.xlarge","15.0 GiB","8 units","4 vCPUs","0","0","2 units","Intel Xeon Family","unknown","unknown","unknown","unknown","1680 GiB               (4 * 420 GiB HDD)","No","N/A","64-bit","High","N/A","0 MB/s","0 IOPS","No","60","4","No","No","No","No","PV","Yes","$0.350000 hourly","$0.224000 hourly","$0.41 hourly","$0.284 hourly","$0.45 hourly","$0.26 hourly","$0.598000 hourly","$0.465000 hourly","$0.83 hourly","$0.543 hourly","$1.362 hourly","$0.906 hourly","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","$0.088 hourly"
"M2 High Memory Double Extra Large","m2.2xlarge","34.2 GiB","13 units","4 vCPUs","0","0","3.25 units","Intel Xeon Family","unknown","unknown","unknown","unknown","850 GiB               HDD","No","N/A","64-bit","Moderate","N/A","0 MB/s","0 IOPS","No","120","4","No","No","No","No","PV","Yes","$0.490000 hourly","$0.222000 hourly","$0.55 hourly","$0.282 hourly","$0.59 hourly","$0.258 hourly","$0.690000 hourly","$0.496000 hourly","$0.85 hourly","$0.622 hourly","$1.489 hourly","$0.944 hourly","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","$0.123 hourly"
"M2 High Memory Quadruple Extra Large","m2.4xlarge","68.4 GiB","26 units","8 vCPUs","0","0","3.25 units","Intel Xeon Family","unknown","unknown","unknown","unknown","1680 GiB               (2 * 840 GiB HDD)","No","N/A","64-bit","High","N/A","0 MB/s","0 IOPS","No","240","8","No","No","No","No","PV","Yes","$0.980000 hourly","$0.444000 hourly","$1.11 hourly","$0.574 hourly","$1.08 hourly","$0.48 hourly","$1.380000 hourly","$0.991000 hourly","$1.7 hourly","$1.245 hourly","$2.976 hourly","$1.887 hourly","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","$0.246 hourly"
"M2 High Memory Extra Large","m2.xlarge","17.1 GiB","6.5 units","2 vCPUs","0","0","3.25 units","Intel Xeon Family","unknown","unknown","unknown","unknown","420 GiB               HDD","No","N/A","64-bit","Moderate","N/A","0 MB/s","0 IOPS","No","60","4","No","No","No","No","PV","Yes","$0.245000 hourly","$0.111000 hourly","$0.305 hourly","$0.171 hourly","$0.345 hourly","$0.147 hourly","$0.345000 hourly","$0.249000 hourly","$0.445 hourly","$0.323 hourly","$1.084 hourly","$0.728 hourly","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","$0.062 hourly"
"M3 General Purpose Double Extra Large","m3.2xlarge","30.0 GiB","26 units","8 vCPUs","0","0","3.25 units","Intel Xeon E5-2670 v2 (Ivy Bridge/Sandy Bridge)","2.5 GHz","Yes","unknown","Yes","160 GiB               (2 * 80 GiB SSD)","No","No","64-bit","High","N/A","0 MB/s","0 IOPS","No","120","4","No","No","No","No","HVM, PV","Yes","$0.532000 hourly","$0.380000 hourly","$0.662 hourly","$0.51 hourly","$0.632 hourly","$0.413 hourly","$1.036000 hourly","$0.793000 hourly","$1.468 hourly","$0.957 hourly","$2.532 hourly","$1.661 hourly","$3.9 hourly","$3.756 hourly","$0.671 hourly","$0.48 hourly","$1.496 hourly","$1.305 hourly","$3.536 hourly","$3.345 hourly","unavailable","$0.140 hourly"
"M3 General Purpose Large","m3.large","7.5 GiB","6.5 units","2 vCPUs","0","0","3.25 units","Intel Xeon E5-2670 v2 (Ivy Bridge/Sandy Bridge)","2.5 GHz","Yes","unknown","Yes","32 GiB               SSD","No","No","64-bit","Moderate","N/A","0 MB/s","0 IOPS","No","30","3","No","No","No","No","HVM, PV","No","$0.133000 hourly","$0.095000 hourly","$0.193 hourly","$0.155 hourly","$0.233 hourly","$0.128 hourly","$0.259000 hourly","$0.199000 hourly","$0.367 hourly","$0.239 hourly","$0.704 hourly","$0.442 hourly","unavailable","unavailable","$0.202 hourly","$0.154 hourly","$0.614 hourly","$0.566 hourly","unavailable","unavailable","unavailable","unavailable"
